rank,pair_key,prototype_object_family,prototype_route_label,prototype_shortlist_status,prototype_display_title,prototype_display_why,prototype_display_first_step,prototype_primary_mediators,prototype_source_title,source_node,target_node,score,supporting_path_count,mediator_count,motif_count,public_specificity_score,question_family,app_link,audit_decision,audit_main_reason,audit_better_formulation,audit_deterministic_implication
23,FG3C001452__FG3C005647,path_question,promote_path_question,promote,Through which nearby pathways might Medicaid eligibility expansions shape catastrophic health expenditures?,"Nearby papers already suggest routes through out-of-pocket spending, health insurance coverage, and hypertension.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['out-of-pocket spending', 'health insurance coverage', 'hypertension']",How might Medicaid eligibility expansions change catastrophic health expenditures?,Medicaid eligibility expansions,catastrophic health expenditures,0.107056,3,3,3,5.903,medicaid-eligibility-expansions-catastrophic-health-expenditures,/questions/#FG3C001452__FG3C005647,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
24,FG3C000004__FG3C000843,path_question,downrank_path_question,downrank,Through which nearby pathways might health maintenance organization (HMO) shape welfare?,"Nearby papers already suggest routes through markets, urban spatial structure, and cost sharing.",Treat this as a lower-priority path question unless stronger local support appears.,"['markets', 'urban spatial structure', 'cost sharing']",How might health maintenance organization (HMO) change welfare?,health maintenance organization (HMO),welfare,0.106666,4,4,4,4.0008,health-maintenance-organization-welfare,/questions/#FG3C000004__FG3C000843,downrank,insufficient_local_support,reframe_as_path_question,require_more_path_support
25,FG3C000013__FG3C000172,mediator_question,downrank_mediator_question,downrank,Which nearby mechanisms most plausibly link corruption to technological innovation?,"The main open question is which channel does the work: economic growth, green finance, and R&D investment.",Keep this in reserve until one mechanism stands out more clearly.,"['economic growth', 'green finance', 'R&D investment']",How might corruption change technological innovation?,corruption,technological innovation,0.106563,18,18,19,2.4196,corruption-technological-innovation,/questions/#FG3C000013__FG3C000172,downrank,should_be_path_level_not_direct_edge,reframe_as_mediator_question,add_mediator_expansion_object
26,FG3C000015__FG3C001717,path_question,promote_path_question,promote,Through which nearby pathways might foreign direct investments shape price-cost margin?,"Nearby papers already suggest routes through imports, business cycle, and productivity growth.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['imports', 'business cycle', 'productivity growth']",How might foreign direct investments change price-cost margin?,foreign direct investments,price-cost margin,0.106358,5,5,4,7.1013,foreign-direct-investments-price-cost-margin,/questions/#FG3C000015__FG3C001717,keep,promising_as_is,reframe_as_path_question,require_more_path_support
27,FG3C000215__FG3C000753,path_question,promote_path_question,promote,Through which nearby pathways might high-speed rail shape green total factor productivity (GTFP)?,"Nearby papers already suggest routes through technological innovation, technological progress, and investment efficiency.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['technological innovation', 'technological progress', 'investment efficiency']",How might high-speed rail change green total factor productivity (GTFP)?,high-speed rail,green total factor productivity (GTFP),0.106194,32,32,29,8.6235,high-speed-rail-green-total-factor-productivity,/questions/#FG3C000215__FG3C000753,keep,promising_as_is,reframe_as_path_question,require_more_path_support
28,FG3C000642__FG3C001452,path_question,promote_path_question,promote,Through which nearby pathways might marital status shape catastrophic health expenditures?,"Nearby papers already suggest routes through hospitalization, health insurance coverage, and health insurance.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['hospitalization', 'health insurance coverage', 'health insurance']",How might marital status change catastrophic health expenditures?,marital status,catastrophic health expenditures,0.105722,3,3,3,3.4017,marital-status-catastrophic-health-expenditures,/questions/#FG3C000642__FG3C001452,keep,promising_as_is,reframe_as_path_question,require_more_path_support
29,FG3C000011__FG3C004608,path_question,promote_path_question,promote,Through which nearby pathways might precautionary saving motives shape output?,"Nearby papers already suggest routes through cash holdings, credit spreads, and real interest rates.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['cash holdings', 'credit spreads', 'real interest rates']",How might precautionary saving motives change output?,precautionary saving motives,output,0.105268,4,4,5,4.0009,precautionary-saving-motives-output,/questions/#FG3C000011__FG3C004608,keep,promising_as_is,reframe_as_path_question,require_more_path_support
30,FG3C000061__FG3C002438,path_question,promote_path_question,promote,Through which nearby pathways might Special economic zones shape total factor productivity (TFP)?,"Nearby papers already suggest routes through technological progress, technological innovation, and innovation.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['technological progress', 'technological innovation', 'innovation']",How might Special economic zones change total factor productivity (TFP)?,Special economic zones,total factor productivity (TFP),0.105118,4,4,4,6.5024,special-economic-zones-total-factor-productivity,/questions/#FG3C000061__FG3C002438,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_mediator_expansion_object
31,FG3C001067__FG3C005391,path_question,promote_path_question,promote,Through which nearby pathways might wage setting shape non-performing loans?,"Nearby papers already suggest routes through inflation, unemployment rate, and efficiency.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['inflation', 'unemployment rate', 'efficiency']",How might wage setting change non-performing loans?,wage setting,non-performing loans,0.104782,3,3,4,3.4012,wage-setting-non-performing-loans,/questions/#FG3C001067__FG3C005391,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
32,FG3C004769__FG3C004959,path_question,downrank_path_question,downrank,Through which nearby pathways might separability shape optimal investment strategy?,"Nearby papers already suggest routes through utility function, distance, and closed-form solution.",Treat this as a lower-priority path question unless stronger local support appears.,"['utility function', 'distance', 'closed-form solution']",How might separability change optimal investment strategy?,separability,optimal investment strategy,0.104745,4,4,4,4.0015,separability-optimal-investment-strategy,/questions/#FG3C004769__FG3C004959,downrank,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
33,FG3C000074__FG3C000094,path_question,promote_path_question,promote,Through which nearby pathways might economic policy uncertainty (EPU) shape green technology innovation?,"Nearby papers already suggest routes through environmental regulation, carbon emissions, and CO2 emissions.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['environmental regulation', 'carbon emissions', 'CO2 emissions']",How might economic policy uncertainty (EPU) change green technology innovation?,economic policy uncertainty (EPU),green technology innovation,0.104622,15,15,15,5.6229,economic-policy-uncertainty-green-technology-innovation,/questions/#FG3C000074__FG3C000094,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
34,FG3C000042__FG3C005928,path_question,downrank_path_question,downrank,Through which nearby pathways might negative news sentiment shape trading volume?,"Nearby papers already suggest routes through volatility, returns, and bid-ask spread.",Treat this as a lower-priority path question unless stronger local support appears.,"['volatility', 'returns', 'bid-ask spread']",How might negative news sentiment change trading volume?,negative news sentiment,trading volume,0.104419,4,4,4,4.0038,negative-news-sentiment-trading-volume,/questions/#FG3C000042__FG3C005928,downrank,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
35,FG3C000544__FG3C001717,path_question,downrank_path_question,downrank,Through which nearby pathways might economic fundamentals shape price-cost margin?,"Nearby papers already suggest routes through exchange rates, market share, and exchange rate changes.",Treat this as a lower-priority path question unless stronger local support appears.,"['exchange rates', 'market share', 'exchange rate changes']",How might economic fundamentals change price-cost margin?,economic fundamentals,price-cost margin,0.104397,3,3,3,3.4017,economic-fundamentals-price-cost-margin,/questions/#FG3C000544__FG3C001717,downrank,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
36,FG3C000215__FG3C000717,path_question,promote_path_question,promote,Through which nearby pathways might digital financial inclusion shape green total factor productivity (GTFP)?,"Nearby papers already suggest routes through urban-rural income gap, industrial structure, and green technology innovation.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['urban-rural income gap', 'industrial structure', 'green technology innovation']",How might digital financial inclusion change green total factor productivity (GTFP)?,digital financial inclusion,green total factor productivity (GTFP),0.104384,17,17,16,6.8134,digital-financial-inclusion-green-total-factor-productivity,/questions/#FG3C000215__FG3C000717,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
37,FG3C000004__FG3C001619,path_question,downrank_path_question,downrank,Through which nearby pathways might exchange-rate regime shape welfare?,"Nearby papers already suggest routes through business cycles, international trade, and income inequality.",Treat this as a lower-priority path question unless stronger local support appears.,"['business cycles', 'international trade', 'income inequality']",How might exchange-rate regime change welfare?,exchange-rate regime,welfare,0.10411,9,9,8,7.0022,exchange-rate-regime-welfare,/questions/#FG3C000004__FG3C001619,downrank,not_paper_shaped,reframe_as_path_question,add_path_level_candidate_object
38,FG3C000039__FG3C001452,mediator_question,promote_mediator_question,promote,Which nearby mechanisms most plausibly link globalization to catastrophic health expenditures?,"The main open question is which channel does the work: income inequality, insurance status, and unemployment.",Start by testing which nearby channel carries the effect.,"['income inequality', 'insurance status', 'unemployment']",How might globalization change catastrophic health expenditures?,globalization,catastrophic health expenditures,0.103568,5,5,5,4.6014,globalization-catastrophic-health-expenditures,/questions/#FG3C000039__FG3C001452,keep,promising_as_is,reframe_as_mediator_question,add_mediator_expansion_object
39,FG3C000215__FG3C000335,path_question,promote_path_question,promote,Through which nearby pathways might digitalization shape green total factor productivity (GTFP)?,"Nearby papers already suggest routes through technological innovation, environmental regulation, and green innovation.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['technological innovation', 'environmental regulation', 'green innovation']",How might digitalization change green total factor productivity (GTFP)?,digitalization,green total factor productivity (GTFP),0.103382,28,28,31,6.1331,digitalization-green-total-factor-productivity,/questions/#FG3C000215__FG3C000335,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
40,FG3C000065__FG3C002623,path_question,promote_path_question,promote,Through which nearby pathways might U.S. economic policy uncertainty shape sustainable development?,"Nearby papers already suggest routes through financing constraints, natural resource rents, and US dollar.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['financing constraints', 'natural resource rents', 'US dollar']",How might U.S. economic policy uncertainty change sustainable development?,U.S. economic policy uncertainty,sustainable development,0.103378,5,5,5,4.6018,u-s-economic-policy-uncertainty-sustainable-development,/questions/#FG3C000065__FG3C002623,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
41,FG3C000094__FG3C005535,path_question,downrank_path_question,downrank,Through which nearby pathways might green technology innovation shape ESG investments?,"Nearby papers already suggest routes through CO2 emissions, energy, and digital transformation.",Treat this as a lower-priority path question unless stronger local support appears.,"['CO2 emissions', 'energy', 'digital transformation']",How might green technology innovation change ESG investments?,green technology innovation,ESG investments,0.103344,3,3,3,3.4037,green-technology-innovation-esg-investments,/questions/#FG3C000094__FG3C005535,downrank,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
42,FG3C002438__FG3C006191,mediator_question,promote_mediator_question,promote,Which nearby mechanisms most plausibly link Special economic zones to land rents?,"The main open question is which channel does the work: employment growth, firms, and house prices.",Start by testing which nearby channel carries the effect.,"['employment growth', 'firms', 'house prices']",How might Special economic zones change land rents?,Special economic zones,land rents,0.102062,5,5,5,4.6008,special-economic-zones-land-rents,/questions/#FG3C002438__FG3C006191,keep,should_be_path_level_not_direct_edge,reframe_as_mediator_question,add_mediator_expansion_object
43,FG3C002487__FG3C002571,path_question,promote_path_question,promote,Through which nearby pathways might free trade agreements shape wage differentials?,"Nearby papers already suggest routes through market access, international trade, and bilateral trade flows.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['market access', 'international trade', 'bilateral trade flows']",How might free trade agreements change wage differentials?,free trade agreements,wage differentials,0.101169,4,4,4,4.0011,free-trade-agreements-wage-differentials,/questions/#FG3C002487__FG3C002571,keep,promising_as_is,reframe_as_path_question,add_path_level_candidate_object
44,FG3C000013__FG3C000567,path_question,downrank_path_question,downrank,Through which nearby pathways might rule of law shape technological innovation?,"Nearby papers already suggest routes through digital economy, financial development, and R&D investment.",Treat this as a lower-priority path question unless stronger local support appears.,"['digital economy', 'financial development', 'R&D investment']",How might rule of law change technological innovation?,rule of law,technological innovation,0.100672,11,11,11,0.7132,rule-of-law-technological-innovation,/questions/#FG3C000013__FG3C000567,downrank,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
45,FG3C000753__FG3C001615,path_question,promote_path_question,promote,Through which nearby pathways might high-speed rail shape PM2.5 concentration?,"Nearby papers already suggest routes through spatial spillover effects, industrial upgrading, and per capita income.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['spatial spillover effects', 'industrial upgrading', 'per capita income']",How might high-speed rail change PM2.5 concentration?,high-speed rail,PM2.5 concentration,0.100406,6,6,6,0.2014,high-speed-rail-pm2-5-concentration,/questions/#FG3C000753__FG3C001615,keep,promising_as_is,reframe_as_path_question,require_more_path_support
46,FG3C000015__FG3C001615,path_question,downrank_path_question,downrank,Through which nearby pathways might foreign direct investments shape PM2.5 concentration?,"Nearby papers already suggest routes through economic growth, carbon emissions intensity, and environmental regulation.",Treat this as a lower-priority path question unless stronger local support appears.,"['economic growth', 'carbon emissions intensity', 'environmental regulation']",How might foreign direct investments change PM2.5 concentration?,foreign direct investments,PM2.5 concentration,0.100284,6,6,6,0.2136,foreign-direct-investments-pm2-5-concentration,/questions/#FG3C000015__FG3C001615,downrank,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
47,FG3C000089__FG3C002487,path_question,promote_path_question,promote,Through which nearby pathways might free trade agreements shape R&D investment?,"Nearby papers already suggest routes through trade liberalization, international trade, and firm financial constraints.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['trade liberalization', 'international trade', 'firm financial constraints']",How might free trade agreements change R&D investment?,free trade agreements,R&D investment,0.100221,5,5,5,7.1017,free-trade-agreements-r-d-investment,/questions/#FG3C000089__FG3C002487,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
48,FG3C000089__FG3C000797,path_question,promote_path_question,promote,Through which nearby pathways might R&D investment shape green total factor productivity?,"Nearby papers already suggest routes through green innovation, technological innovation, and digital economy.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['green innovation', 'technological innovation', 'digital economy']",How might R&D investment change green total factor productivity?,R&D investment,green total factor productivity,0.100114,14,14,14,5.0149,r-d-investment-green-total-factor-productivity,/questions/#FG3C000089__FG3C000797,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
49,FG3C000015__FG3C002078,path_question,downrank_path_question,downrank,Through which nearby pathways might foreign direct investments shape green technological progress?,"Nearby papers already suggest routes through green total factor productivity (GTFP), human capital, and digital economy (DE).",Treat this as a lower-priority path question unless stronger local support appears.,"['green total factor productivity (GTFP)', 'human capital', 'digital economy (DE)']",How might foreign direct investments change green technological progress?,foreign direct investments,green technological progress,0.099984,6,6,6,0.2033,foreign-direct-investments-green-technological-progress,/questions/#FG3C000015__FG3C002078,downrank,not_paper_shaped,reframe_as_path_question,require_more_path_support
50,FG3C000162__FG3C002438,path_question,promote_path_question,promote,Through which nearby pathways might Special economic zones shape terms of trade?,"Nearby papers already suggest routes through technological progress, foreign investment, and investment.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['technological progress', 'foreign investment', 'investment']",How might Special economic zones change terms of trade?,Special economic zones,terms of trade,0.09984,4,4,4,6.5008,special-economic-zones-terms-of-trade,/questions/#FG3C000162__FG3C002438,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
51,FG3C000085__FG3C002623,path_question,promote_path_question,promote,Through which nearby pathways might gross domestic product (GDP) shape U.S. economic policy uncertainty?,Nearby papers already suggest routes through carbon dioxide (CO2) emission and social interactions.,Start with a short synthesis or pilot that follows the nearest mediating topics.,"['carbon dioxide (CO2) emission', 'social interactions']",How might gross domestic product (GDP) change U.S. economic policy uncertainty?,gross domestic product (GDP),U.S. economic policy uncertainty,0.099735,2,2,3,5.3014,gross-domestic-product-u-s-economic-policy-uncertainty,/questions/#FG3C000085__FG3C002623,keep,already_saturated,reframe_as_path_question,add_mediator_expansion_object
